20MICRONS,20190829,33.7,35.85,32.15,34.05,101970
21STCENMGM,20190829,12.65,12.65,12.6,12.6,237
3IINFOTECH,20190829,1.7,1.75,1.7,1.75,291071
3MINDIA,20190829,20550,20779.95,20350,20424.45,3865
5PAISA,20190829,146.85,146.85,133.9,134,11050
63MOONS,20190829,114.65,120,114.65,114.65,140435
8KMILES,20190829,54.4,54.45,52,52.9,53733
A2ZINFRA,20190829,9.8,9.95,9.75,9.75,76491
AARTIDRUGS,20190829,473.4,473.45,452.65,459.95,10602
AARTIIND,20190829,1593,1616,1570.9,1585.8,45090
AARVEEDEN,20190829,14.15,14.25,12.55,13.7,2935
AAVAS,20190829,1546.2,1549.9,1480.15,1500.95,6927
ABAN,20190829,24.95,24.95,23.45,24.1,145305
ABB,20190829,1364,1364,1325.1,1332.3,134390
ABBOTINDIA,20190829,9021,9110,9015.05,9090.5,2979
ABCAPITAL,20190829,87.8,89,86.3,88.65,1138812
ABFRL,20190829,190.75,192.3,187.55,189.65,355815
ACC,20190829,1530.15,1546,1494.2,1500.1,815331
ACCELYA,20190829,756.95,761,739,757.6,8501
ACE,20190829,55.35,56.45,54,55.85,102875
ADANIENT,20190829,138,138,130.35,132.35,6108447
ADANIGAS,20190829,146.5,147.2,143.25,143.85,158967
ADANIGREEN,20190829,44.15,44.3,43,43.4,175387
ADANIPORTS,20190829,367,370.3,361.3,366.2,1725632
ADANIPOWER,20190829,59,59.65,56.1,57.35,7711499
ADANITRANS,20190829,234.75,237,233.1,236.1,60601
ADFFOODS,20190829,261.1,266.6,250.3,251.95,34271
ADHUNIK,20190829,1.15,1.15,1.05,1.1,26315
ADHUNIKIND,20190829,88.5,89.7,86.9,87.85,43104
ADLABS,20190829,3.45,3.65,3.45,3.6,52430
ADORWELD,20190829,289.95,289.95,285,285.4,1174
ADROITINFO,20190829,9.65,9.95,9.65,9.65,3275
ADSL,20190829,13.5,14,13.2,13.45,11226
ADVANIHOTR,20190829,52.7,53.75,51.25,51.65,4560
ADVENZYMES,20190829,150.75,150.75,142.4,145.15,173533
AEGISCHEM,20190829,193,194.95,186.4,188.9,165573
AFFLE,20190829,832,848.95,820.75,822.45,24272
AGARIND,20190829,126,126.05,120.85,124.8,1431
AGCNET,20190829,111.5,115.95,111.5,112.6,5753
AGLSL,20190829,46.8,48.85,45.1,46.5,4663
AGRITECH,20190829,44,44.8,42.5,44.05,15571
AGROPHOS,20190829,93.8,93.8,87.5,87.5,635
AHLEAST,20190829,154.05,158,154.05,155.85,365
AHLUCONT,20190829,306.05,306.05,305,305.05,864
AHLWEST,20190829,284.2,305,282,304.85,2460
AIAENG,20190829,1565,1572.5,1536,1546.2,13264
AIONJSW,20190829,14,14.75,14,14.45,11658
AIRAN,20190829,16.7,17.65,16.2,16.45,3531
AJANTPHARM,20190829,992.2,1009,978.55,1000.9,138295
AJMERA,20190829,119.1,120.95,116.25,118.1,34438
AKSHARCHEM,20190829,206,210,193.7,195.85,2456
AKSHOPTFBR,20190829,7.9,8.1,7.8,8.1,587534
AKZOINDIA,20190829,1699.15,1710,1699.15,1700.8,2903
ALANKIT,20190829,20.4,20.4,19,19.55,228432
ALBERTDAVD,20190829,335.75,335.75,324.75,326.7,3509
ALBK,20190829,34.75,34.75,33.55,33.8,877985
ALCHEM,20190829,1,1.1,1,1.05,812
ALEMBICLTD,20190829,33.45,34.95,33.45,33.55,102285
ALICON,20190829,404,404,396.2,400.9,138
ALKALI,20190829,40.05,41.9,40.05,40.55,10561
ALKEM,20190829,1829.85,1829.85,1800,1817.75,5868
ALKYLAMINE,20190829,755,758,744,753.1,1455
ALLCARGO,20190829,91.8,93.1,90,90.65,871841
ALLSEC,20190829,264,277,260.15,276.7,939
ALOKTEXT,20190829,2.7,2.7,2.55,2.6,4590893
ALPA,20190829,14.55,14.85,14.5,14.7,6037
ALPHAGEO,20190829,197,205.85,195.95,202.55,11086
ALPSINDUS,20190829,0.5,0.55,0.5,0.5,4064
AMARAJABAT,20190829,612.75,614.4,580,609.25,1092223
AMBER,20190829,852,852,825,827,9107
AMBIKCO,20190829,843,873.95,832.65,841.1,5002
AMBUJACEM,20190829,203.55,205.15,199.4,200.05,3138802
AMDIND,20190829,17.05,17.05,16.5,16.7,3345
AMJLAND,20190829,17,18,16.4,17.15,2206
AMRUTANJAN,20190829,284.95,286.9,284.7,286.05,9424
ANANTRAJ,20190829,27.1,31.1,26.75,30.15,944704
ANDHRABANK,20190829,18.7,18.7,17.8,18.3,395048
